Summary:
Execution time: ,81 seconds
Total # of voyages: 1224
Number of installations (excluding depot): 8
Number of time windows: 2
Number of vessels: 5
Min. # of installations: 1
Max. number of installations: 8
Min. duration: 56
Max. duration: 80
Name: FarSeeker	 # of voyages: 250
Name: FarStar	 # of voyages: 234
Name: FarSymphony	 # of voyages: 241
Name: FarSearcher	 # of voyages: 250
Name: HavilaForesight	 # of voyages: 249
------------------------------------------------------------------------------------------------------------------------
Vessel: FarSeeker
Voyages: 
number: 724	 cost: 50695,03	 capacityUsed: 327,16	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3-8
number: 732	 cost: 72412,82	 capacityUsed: 206,72	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-4-8
number: 751	 cost: 79478,37	 capacityUsed: 390,20	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-1-4
number: 759	 cost: 62414,40	 capacityUsed: 236,28	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-5
number: 776	 cost: 84629,07	 capacityUsed: 547,40	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-1-5-6
number: 795	 cost: 46453,28	 capacityUsed: 406,56	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-3-7
number: 815	 cost: 84229,14	 capacityUsed: 597,24	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-6-4
number: 834	 cost: 82714,22	 capacityUsed: 436,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-3-5-4
number: 889	 cost: 55336,72	 capacityUsed: 529,16	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3-2-7
number: 947	 cost: 87452,87	 capacityUsed: 719,84	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-1-6-4
number: 1004	 cost: 89173,81	 capacityUsed: 559,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-1-3-5-4
number: 1013	 cost: 46053,34	 capacityUsed: 410,28	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-6
number: 1030	 cost: 78872,40	 capacityUsed: 329,32	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-4-1-8
number: 1049	 cost: 85441,07	 capacityUsed: 610,68	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-3-6-4
number: 1068	 cost: 84629,07	 capacityUsed: 565,92	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-5-6
number: 1088	 cost: 68571,00	 capacityUsed: 358,88	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-7-1-5
number: 1096	 cost: 62414,40	 capacityUsed: 175,40	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-5
number: 1113	 cost: 48271,17	 capacityUsed: 345,68	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-3-8
number: 1132	 cost: 79478,37	 capacityUsed: 408,72	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-2-7-4
number: 1151	 cost: 78169,49	 capacityUsed: 422,16	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-4-3-7
number: 1208	 cost: 88470,89	 capacityUsed: 688,52	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-1-5-6
number: 1264	 cost: 54730,76	 capacityUsed: 468,28	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-1-3-2-8
number: 1274	 cost: 47265,27	 capacityUsed: 349,40	 departureTime: 56.0	 currentInstallation: 0	 visited: 0-8-6
number: 1328	 cost: 85937,96	 capacityUsed: 531,32	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-2-7-1-4
number: 1385	 cost: 88567,84	 capacityUsed: 733,28	 departureTime: 80.0	 currentInstallation: 0	 visited: 0-1-3-6-4
